Year,Month,OPO,OPO_Zip,OPO_Lat,OPO_Lon,Center,Center_Zip,Center_Lat,Center_Lon,Count,DCU_Rate
2021,10,KYDA,40223,38.2651,-85.5582,KYUK,40536,38.0321,-84.5084,1,0.0
2021,10,LAOP,70433,30.4876,-90.0959,TNVU,37212,36.1337,-86.8006,1,1.0
2021,10,MAOB,02451,42.3986,-71.2451,NYCP,10032,40.8382,-73.942,4,0.0
2021,10,MAOB,02451,42.3986,-71.2451,NYUC,10016,40.7443,-73.9781,1,0.0
2021,10,MAOB,02451,42.3986,-71.2451,PAUP,19104,39.9597,-75.2024,1,0.0
2021,10,MDPC,21227,39.2309,-76.6969,MAMG,02114,42.3611,-71.0682,1,0.0
2021,10,MDPC,21227,39.2309,-76.6969,NYCP,10032,40.8382,-73.942,1,0.0
2021,10,MDPC,21227,39.2309,-76.6969,NYUC,10016,40.7443,-73.9781,1,0.0
2021,10,MIOP,48108,42.2328,-83.7015,MISH,49503,42.9659,-85.6527,1,1.0
2021,10,MIOP,48108,42.2328,-83.7015,MIUM,48109,42.2776,-83.7409,1,1.0
2021,10,MIOP,48108,42.2328,-83.7015,NYCP,10032,40.8382,-73.942,3,1.0
2021,10,MIOP,48108,42.2328,-83.7015,VAFH,22042,38.8635,-77.1939,1,1.0
2021,10,MNOP,55411,44.9996,-93.3005,MNUM,55454,44.9682,-93.2429,3,0.0
2021,10,MOMA,63110,38.6185,-90.2564,INIM,46202,39.7851,-86.1595,1,1.0
2021,10,MOMA,63110,38.6185,-90.2564,MIUM,48109,42.2776,-83.7409,1,1.0
2021,10,MOMA,63110,38.6185,-90.2564,MOBH,63110,38.6185,-90.2564,1,1.0
2021,10,MOMA,63110,38.6185,-90.2564,TXSP,75390,32.7673,-96.7776,1,1.0
2021,10,MSOP,39232,32.3299,-90.0915,ALUA,35233,33.5062,-86.8003,1,1.0
2021,10,MSOP,39232,32.3299,-90.0915,FLSL,32224,30.3031,-81.4404,1,1.0
2021,10,MSOP,39232,32.3299,-90.0915,FLUF,32610,29.6813,-82.3539,1,1.0
2021,10,MSOP,39232,32.3299,-90.0915,KYJH,40202,38.2507,-85.7476,1,1.0
2021,10,MSOP,39232,32.3299,-90.0915,TNVU,37212,36.1337,-86.8006,1,1.0
2021,10,MSOP,39232,32.3299,-90.0915,TXBC,78229,29.5042,-98.5697,1,1.0
2021,10,MWOB,66205,39.0278,-94.6558,INIM,46202,39.7851,-86.1595,1,0.0
2021,10,MWOB,66205,39.0278,-94.6558,MNMC,55902,44.0032,-92.4835,1,0.0
2021,10,MWOB,66205,39.0278,-94.6558,MOBH,63110,38.6185,-90.2564,3,0.0
2021,10,MWOB,66205,39.0278,-94.6558,TXMH,77030,29.7041,-95.401,1,0.0
2021,10,NCCM,28211,35.1677,-80.7932,FLUF,32610,29.6813,-82.3539,1,0.0
2021,10,NCCM,28211,35.1677,-80.7932,NYCP,10032,40.8382,-73.942,1,0.0
2021,10,NCCM,28211,35.1677,-80.7932,VAUV,22908,38.0401,-78.4851,1,0.0
2021,10,NCNC,27858,35.5866,-77.3485,GAEM,30322,33.7952,-84.3248,1,0.0
2021,10,NCNC,27858,35.5866,-77.3485,NCDU,27710,36.0512,-78.8577,3,0.0
2021,10,NEOR,68105,41.2435,-95.9629,MNMC,55902,44.0032,-92.4835,1,0.0
2021,10,NEOR,68105,41.2435,-95.9629,NYUC,10016,40.7443,-73.9781,1,0.0
2021,10,NEOR,68105,41.2435,-95.9629,TXSP,75390,32.7673,-96.7776,1,0.0
2021,10,NJTO,07974,40.7004,-74.4023,NYCP,10032,40.8382,-73.942,2,0.0
2021,10,NJTO,07974,40.7004,-74.4023,NYMA,10467,40.8737,-73.8712,1,0.0
2021,10,NVLV,89104,36.152,-115.1092,AZSJ,85013,33.5085,-112.0827,2,0.0
2021,10,NVLV,89104,36.152,-115.1092,AZUA,85719,32.2474,-110.9491,1,0.0
2021,10,NVLV,89104,36.152,-115.1092,CACS,90048,34.0737,-118.372,1,0.0
2021,10,NVLV,89104,36.152,-115.1092,CASU,94305,37.4236,-122.1619,1,0.0
2021,10,NVLV,89104,36.152,-115.1092,NYCP,10032,40.8382,-73.942,1,0.0
2021,10,NYAP,12203,42.7003,-73.8575,NYCP,10032,40.8382,-73.942,1,0.0
2021,10,NYRT,11101,40.7446,-73.9345,MAMG,02114,42.3611,-71.0682,1,0.0
2021,10,NYRT,11101,40.7446,-73.9345,MAPB,02115,42.3427,-71.0922,1,0.0
2021,10,NYRT,11101,40.7446,-73.9345,NYCP,10032,40.8382,-73.942,3,0.0
2021,10,NYRT,11101,40.7446,-73.9345,NYUC,10016,40.7443,-73.9781,3,0.0
2021,10,NYRT,11101,40.7446,-73.9345,PATU,19140,40.0118,-75.1456,2,0.0
2021,10,NYRT,11101,40.7446,-73.9345,PAUP,19104,39.9597,-75.2024,1,0.0
2021,10,OHLB,44128,41.4416,-81.5486,MAPB,02115,42.3427,-71.0922,1,1.0
2021,10,OHLC,45420,39.7171,-84.1342,MIUM,48109,42.2776,-83.7409,1,0.0
2021,10,OHLP,43212,39.9874,-83.0456,INIM,46202,39.7851,-86.1595,1,0.0
2021,10,OHLP,43212,39.9874,-83.0456,MIUM,48109,42.2776,-83.7409,1,0.0
2021,10,OHLP,43212,39.9874,-83.0456,OHOU,43210,40.0028,-83.0164,2,0.0
2021,10,OHOV,45202,39.1072,-84.502,KYUK,40536,38.0321,-84.5084,1,0.0
2021,10,OHOV,45202,39.1072,-84.502,MAPB,02115,42.3427,-71.0922,1,0.0
2021,10,ORUO,97201,45.5078,-122.6897,CASU,94305,37.4236,-122.1619,1,0.0
2021,10,ORUO,97201,45.5078,-122.6897,WAUW,98195,47.6564,-122.3048,1,0.0
2021,10,PADV,19123,39.966,-75.151,FLTG,33606,27.9475,-82.4584,1,0.0
2021,10,PADV,19123,39.966,-75.151,MAMG,02114,42.3611,-71.0682,1,0.0
2021,10,PADV,19123,39.966,-75.151,MIHF,48202,42.377,-83.0796,1,0.0
2021,10,PADV,19123,39.966,-75.151,NYUC,10016,40.7443,-73.9781,1,0.0
2021,10,PADV,19123,39.966,-75.151,PATU,19140,40.0118,-75.1456,1,0.0
2021,10,PADV,19123,39.966,-75.151,PAUP,19104,39.9597,-75.2024,1,0.0
2021,10,PATF,15238,40.5346,-79.8805,MIHF,48202,42.377,-83.0796,1,1.0
2021,10,PATF,15238,40.5346,-79.8805,OHCC,44195,41.6857,-81.6728,1,1.0
2021,10,SCOP,29414,32.8215,-80.0568,FLTG,33606,27.9475,-82.4584,1,1.0
2021,10,SCOP,29414,32.8215,-80.0568,KYUK,40536,38.0321,-84.5084,1,1.0
2021,10,SCOP,29414,32.8215,-80.0568,NCDU,27710,36.0512,-78.8577,2,1.0
2021,10,SCOP,29414,32.8215,-80.0568,TNVU,37212,36.1337,-86.8006,1,1.0
2021,10,TNDS,37228,36.1901,-86.8053,ILLU,60141,41.8623,-87.8355,1,0.0
2021,10,TNDS,37228,36.1901,-86.8053,KYUK,40536,38.0321,-84.5084,1,0.0
2021,10,TNDS,37228,36.1901,-86.8053,NCDU,27710,36.0512,-78.8577,1,0.0
2021,10,TNDS,37228,36.1901,-86.8053,OHOU,43210,40.0028,-83.0164,1,0.0
2021,10,TNDS,37228,36.1901,-86.8053,TNVU,37212,36.1337,-86.8006,2,0.0
2021,10,TNMS,38018,35.1556,-89.7762,MOBH,63110,38.6185,-90.2564,1,0.0
2021,10,TNMS,38018,35.1556,-89.7762,TNVU,37212,36.1337,-86.8006,1,0.0
2021,10,TXGC,77054,29.6852,-95.4017,TXHI,77030,29.7041,-95.401,1,1.0
2021,10,TXGC,77054,29.6852,-95.4017,TXMH,77030,29.7041,-95.401,2,1.0
2021,10,TXSA,78229,29.5042,-98.5697,PAPT,15213,40.444,-79.9552,1,1.0
2021,10,TXSA,78229,29.5042,-98.5697,TXBC,78229,29.5042,-98.5697,1,1.0
2021,10,TXSA,78229,29.5042,-98.5697,TXHH,77030,29.7041,-95.401,2,1.0
2021,10,TXSA,78229,29.5042,-98.5697,TXHI,77030,29.7041,-95.401,3,1.0
2021,10,TXSA,78229,29.5042,-98.5697,TXMH,77030,29.7041,-95.401,1,1.0
2021,10,TXSA,78229,29.5042,-98.5697,TXSP,75390,32.7673,-96.7776,1,1.0
2021,10,TXSA,78229,29.5042,-98.5697,TXTX,75246,32.7948,-96.7697,1,1.0
2021,10,TXSB,75231,32.8756,-96.7495,COUC,80045,39.7467,-104.8384,1,1.0
2021,10,TXSB,75231,32.8756,-96.7495,OHCC,44195,41.6857,-81.6728,1,1.0
2021,10,TXSB,75231,32.8756,-96.7495,TXBC,78229,29.5042,-98.5697,2,1.0
2021,10,TXSB,75231,32.8756,-96.7495,TXHH,77030,29.7041,-95.401,2,1.0
2021,10,TXSB,75231,32.8756,-96.7495,TXHI,77030,29.7041,-95.401,1,1.0
2021,10,TXSB,75231,32.8756,-96.7495,TXMH,77030,29.7041,-95.401,1,1.0
2021,10,TXSB,75231,32.8756,-96.7495,TXSP,75390,32.7673,-96.7776,2,1.0
2021,10,TXSB,75231,32.8756,-96.7495,TXTX,75246,32.7948,-96.7697,1,1.0
2021,10,VATB,23453,36.776,-76.0766,MDUM,21201,39.2946,-76.6252,1,0.0
2021,10,VATB,23453,36.776,-76.0766,NCDU,27710,36.0512,-78.8577,1,0.0
2021,10,VATB,23453,36.776,-76.0766,PATU,19140,40.0118,-75.1456,3,0.0
2021,10,WALC,98006,47.5614,-122.1552,CASU,94305,37.4236,-122.1619,2,0.0
2021,10,WALC,98006,47.5614,-122.1552,COUC,80045,39.7467,-104.8384,1,0.0
2021,10,WIDN,53233,43.0407,-87.9357,OHCC,44195,41.6857,-81.6728,1,0.0
2021,10,WIUW,53711,43.0356,-89.4526,MISH,49503,42.9659,-85.6527,1,0.0
2021,10,WIUW,53711,43.0356,-89.4526,MNUM,55454,44.9682,-93.2429,1,0.0
2021,11,ALOB,35233,33.5062,-86.8003,ALUA,35233,33.5062,-86.8003,2,1.0
2021,11,ALOB,35233,33.5062,-86.8003,ILUC,60637,41.7813,-87.6051,1,1.0
2021,11,ALOB,35233,33.5062,-86.8003,MDUM,21201,39.2946,-76.6252,1,1.0
2021,11,ALOB,35233,33.5062,-86.8003,TNVU,37212,36.1337,-86.8006,1,1.0
2021,11,AROR,72205,34.751,-92.3455,FLTG,33606,27.9475,-82.4584,1,1.0
2021,11,AROR,72205,34.751,-92.3455,TXBC,78229,29.5042,-98.5697,1,1.0
2021,11,AROR,72205,34.751,-92.3455,TXMH,77030,29.7041,-95.401,1,1.0
2021,11,AZOB,85281,33.4227,-111.9261,AZSJ,85013,33.5085,-112.0827,1,0.0
2021,11,AZOB,85281,33.4227,-111.9261,AZUA,85719,32.2474,-110.9491,1,0.0
2021,11,CADN,94583,37.7562,-121.9522,AZSJ,85013,33.5085,-112.0827,1,1.0
2021,11,CADN,94583,37.7562,-121.9522,CASF,94143,37.7631,-122.4586,2,1.0
2021,11,CAGS,95691,38.5673,-121.5516,CASF,94143,37.7631,-122.4586,1,0.0
2021,11,CAOP,91702,34.1248,-117.9031,AZSJ,85013,33.5085,-112.0827,1,1.0
2021,11,CAOP,91702,34.1248,-117.9031,CACS,90048,34.0737,-118.372,1,1.0
2021,11,CAOP,91702,34.1248,-117.9031,CASD,92037,32.8455,-117.2521,2,1.0
2021,11,CAOP,91702,34.1248,-117.9031,CASF,94143,37.7631,-122.4586,1,1.0
2021,11,CAOP,91702,34.1248,-117.9031,CAUC,90095,33.7866,-118.2987,5,1.0
2021,11,CAOP,91702,34.1248,-117.9031,CAUH,90033,34.0487,-118.2084,1,1.0
2021,11,CASD,92108,32.7783,-117.1335,CAUC,90095,33.7866,-118.2987,1,0.0
2021,11,CORS,80230,39.7218,-104.8951,COUC,80045,39.7467,-104.8384,3,1.0
2021,11,DCTC,22042,38.8635,-77.1939,MDJH,21287,39.2975,-76.5927,1,0.0
2021,11,FLFH,32751,28.6255,-81.3646,FLFH,32803,28.5559,-81.3535,2,0.0
2021,11,FLFH,32751,28.6255,-81.3646,FLJM,33136,25.7864,-80.2042,1,0.0
2021,11,FLFH,32751,28.6255,-81.3646,FLUF,32610,29.6813,-82.3539,1,0.0
2021,11,FLMP,33136,25.7864,-80.2042,FLJM,33136,25.7864,-80.2042,2,0.0
2021,11,FLMP,33136,25.7864,-80.2042,FLSL,32224,30.3031,-81.4404,1,0.0
2021,11,FLMP,33136,25.7864,-80.2042,FLTG,33606,27.9475,-82.4584,1,0.0
2021,11,FLUF,32605,29.6785,-82.3679,FLFH,32803,28.5559,-81.3535,1,0.0
2021,11,FLWC,33619,27.9382,-82.3756,FLTG,33606,27.9475,-82.4584,1,0.0
2021,11,FLWC,33619,27.9382,-82.3756,PAUP,19104,39.9597,-75.2024,1,0.0
2021,11,GALL,30071,33.9381,-84.1972,FLTG,33606,27.9475,-82.4584,1,0.0
2021,11,GALL,30071,33.9381,-84.1972,KYUK,40536,38.0321,-84.5084,1,0.0
2021,11,GALL,30071,33.9381,-84.1972,SCMU,29425,32.7862,-79.9471,1,0.0
2021,11,IAOP,52317,41.7443,-91.6061,MNMC,55902,44.0032,-92.4835,1,0.0
2021,11,IAOP,52317,41.7443,-91.6061,WIUW,53792,43.0696,-89.4239,1,0.0
2021,11,ILIP,60143,41.972,-88.0202,ILNM,60611,41.8971,-87.6223,1,0.0
2021,11,ILIP,60143,41.972,-88.0202,ILUC,60637,41.7813,-87.6051,1,0.0
2021,11,ILIP,60143,41.972,-88.0202,MISH,49503,42.9659,-85.6527,1,0.0
2021,11,ILIP,60143,41.972,-88.0202,MOBH,63110,38.6185,-90.2564,1,0.0
2021,11,ILIP,60143,41.972,-88.0202,OHOU,43210,40.0028,-83.0164,2,0.0
2021,11,ILIP,60143,41.972,-88.0202,WIUW,53792,43.0696,-89.4239,1,0.0
2021,11,INOP,46222,39.789,-86.2136,OHCC,44195,41.6857,-81.6728,1,1.0
2021,11,INOP,46222,39.789,-86.2136,PAPT,15213,40.444,-79.9552,2,1.0
2021,11,KYDA,40223,38.2651,-85.5582,KYJH,40202,38.2507,-85.7476,1,0.0
2021,11,LAOP,70433,30.4876,-90.0959,FLFH,32803,28.5559,-81.3535,1,1.0
2021,11,LAOP,70433,30.4876,-90.0959,TXHH,77030,29.7041,-95.401,1,1.0
2021,11,LAOP,70433,30.4876,-90.0959,TXHI,77030,29.7041,-95.401,1,1.0
2021,11,LAOP,70433,30.4876,-90.0959,VAFH,22042,38.8635,-77.1939,1,1.0
2021,11,MAOB,02451,42.3986,-71.2451,MAMG,02114,42.3611,-71.0682,1,0.0
2021,11,MAOB,02451,42.3986,-71.2451,NYCP,10032,40.8382,-73.942,3,0.0
2021,11,MAOB,02451,42.3986,-71.2451,PATU,19140,40.0118,-75.1456,1,0.0
2021,11,MAOB,02451,42.3986,-71.2451,PAUP,19104,39.9597,-75.2024,2,0.0
2021,11,MDPC,21227,39.2309,-76.6969,MAPB,02115,42.3427,-71.0922,1,0.0
2021,11,MDPC,21227,39.2309,-76.6969,MDJH,21287,39.2975,-76.5927,1,0.0
2021,11,MDPC,21227,39.2309,-76.6969,MDUM,21201,39.2946,-76.6252,1,0.0
2021,11,MDPC,21227,39.2309,-76.6969,VAUV,22908,38.0401,-78.4851,1,0.0
2021,11,MIOP,48108,42.2328,-83.7015,ILLU,60141,41.8623,-87.8355,1,1.0
2021,11,MIOP,48108,42.2328,-83.7015,MIUM,48109,42.2776,-83.7409,2,1.0
2021,11,MIOP,48108,42.2328,-83.7015,PAPT,15213,40.444,-79.9552,1,1.0
2021,11,MIOP,48108,42.2328,-83.7015,WIUW,53792,43.0696,-89.4239,1,1.0
2021,11,MNOP,55411,44.9996,-93.3005,IAIV,52246,41.6438,-91.5669,1,0.0
2021,11,MNOP,55411,44.9996,-93.3005,MNMC,55902,44.0032,-92.4835,1,0.0
2021,11,MNOP,55411,44.9996,-93.3005,MNUM,55454,44.9682,-93.2429,1,0.0
2021,11,MNOP,55411,44.9996,-93.3005,NYUC,10016,40.7443,-73.9781,1,0.0
2021,11,MNOP,55411,44.9996,-93.3005,WIUW,53792,43.0696,-89.4239,1,0.0
2021,11,MOMA,63110,38.6185,-90.2564,MDUM,21201,39.2946,-76.6252,1,1.0
2021,11,MSOP,39232,32.3299,-90.0915,TXHI,77030,29.7041,-95.401,1,1.0
2021,11,MWOB,66205,39.0278,-94.6558,FLFH,32803,28.5559,-81.3535,1,0.0
2021,11,MWOB,66205,39.0278,-94.6558,ILNM,60611,41.8971,-87.6223,1,0.0
2021,11,MWOB,66205,39.0278,-94.6558,MDUM,21201,39.2946,-76.6252,1,0.0
2021,11,MWOB,66205,39.0278,-94.6558,MOBH,63110,38.6185,-90.2564,4,0.0
2021,11,MWOB,66205,39.0278,-94.6558,NEUN,68105,41.2435,-95.9629,1,0.0
2021,11,MWOB,66205,39.0278,-94.6558,TXSP,75390,32.7673,-96.7776,1,0.0
2021,11,NCCM,28211,35.1677,-80.7932,NCDU,27710,36.0512,-78.8577,1,0.0
2021,11,NCCM,28211,35.1677,-80.7932,SCMU,29425,32.7862,-79.9471,1,0.0
2021,11,NCNC,27858,35.5866,-77.3485,FLTG,33606,27.9475,-82.4584,1,0.0
2021,11,NCNC,27858,35.5866,-77.3485,NCDU,27710,36.0512,-78.8577,1,0.0
2021,11,NCNC,27858,35.5866,-77.3485,VAFH,22042,38.8635,-77.1939,1,0.0
2021,11,NYAP,12203,42.7003,-73.8575,NYUC,10016,40.7443,-73.9781,2,0.0
2021,11,NYAP,12203,42.7003,-73.8575,PATU,19140,40.0118,-75.1456,1,0.0
2021,11,NYFL,14623,43.0834,-77.6344,NYCP,10032,40.8382,-73.942,1,0.0
2021,11,NYRT,11101,40.7446,-73.9345,NYMA,10467,40.8737,-73.8712,1,0.0
2021,11,NYRT,11101,40.7446,-73.9345,NYUC,10016,40.7443,-73.9781,1,0.0
2021,11,NYWN,14221,42.9685,-78.7492,PATU,19140,40.0118,-75.1456,1,0.0
2021,11,OHLB,44128,41.4416,-81.5486,ILNM,60611,41.8971,-87.6223,1,1.0
2021,11,OHLB,44128,41.4416,-81.5486,OHCC,44195,41.6857,-81.6728,1,1.0
2021,11,OHLC,45420,39.7171,-84.1342,ILNM,60611,41.8971,-87.6223,1,0.0
2021,11,OHLC,45420,39.7171,-84.1342,ILUC,60637,41.7813,-87.6051,1,0.0
2021,11,OHLP,43212,39.9874,-83.0456,PAUP,19104,39.9597,-75.2024,1,0.0
2021,11,OHOV,45202,39.1072,-84.502,MIUM,48109,42.2776,-83.7409,1,0.0
2021,11,OKOP,73132,35.5583,-97.6375,COUC,80045,39.7467,-104.8384,1,1.0
2021,11,OKOP,73132,35.5583,-97.6375,TXTX,75246,32.7948,-96.7697,1,1.0
2021,11,ORUO,97201,45.5078,-122.6897,WAUW,98195,47.6564,-122.3048,1,0.0
2021,11,PADV,19123,39.966,-75.151,MDJH,21287,39.2975,-76.5927,1,0.0
2021,11,PADV,19123,39.966,-75.151,NYCP,10032,40.8382,-73.942,1,0.0
2021,11,PADV,19123,39.966,-75.151,NYUC,10016,40.7443,-73.9781,1,0.0
2021,11,PADV,19123,39.966,-75.151,PATU,19140,40.0118,-75.1456,3,0.0
2021,11,PADV,19123,39.966,-75.151,PAUP,19104,39.9597,-75.2024,1,0.0
2021,11,PATF,15238,40.5346,-79.8805,PAPT,15213,40.444,-79.9552,1,1.0
2021,11,PATF,15238,40.5346,-79.8805,PAUP,19104,39.9597,-75.2024,1,1.0
2021,11,SCOP,29414,32.8215,-80.0568,FLTG,33606,27.9475,-82.4584,1,1.0
2021,11,SCOP,29414,32.8215,-80.0568,GAEM,30322,33.7952,-84.3248,1,1.0
2021,11,SCOP,29414,32.8215,-80.0568,NCDU,27710,36.0512,-78.8577,1,1.0
2021,11,SCOP,29414,32.8215,-80.0568,NCMH,27514,35.9203,-79.0372,2,1.0
2021,11,SCOP,29414,32.8215,-80.0568,SCMU,29425,32.7862,-79.9471,1,1.0
2021,11,TNDS,37228,36.1901,-86.8053,KYUK,40536,38.0321,-84.5084,1,0.0
2021,11,TNDS,37228,36.1901,-86.8053,NCDU,27710,36.0512,-78.8577,1,0.0
2021,11,TNDS,37228,36.1901,-86.8053,OHOU,43210,40.0028,-83.0164,1,0.0
2021,11,TNDS,37228,36.1901,-86.8053,PATU,19140,40.0118,-75.1456,1,0.0
2021,11,TNDS,37228,36.1901,-86.8053,TNVU,37212,36.1337,-86.8006,2,0.0
2021,11,TXGC,77054,29.6852,-95.4017,AZSJ,85013,33.5085,-112.0827,1,1.0
2021,11,TXGC,77054,29.6852,-95.4017,ILNM,60611,41.8971,-87.6223,1,1.0
2021,11,TXGC,77054,29.6852,-95.4017,TXBC,78229,29.5042,-98.5697,1,1.0
2021,11,TXGC,77054,29.6852,-95.4017,TXHI,77030,29.7041,-95.401,3,1.0
2021,11,TXGC,77054,29.6852,-95.4017,TXMH,77030,29.7041,-95.401,1,1.0
2021,11,TXGC,77054,29.6852,-95.4017,TXSP,75390,32.7673,-96.7776,1,1.0
2021,11,TXSA,78229,29.5042,-98.5697,FLUF,32610,29.6813,-82.3539,1,1.0
2021,11,TXSA,78229,29.5042,-98.5697,PAPT,15213,40.444,-79.9552,1,1.0
2021,11,TXSA,78229,29.5042,-98.5697,TXBC,78229,29.5042,-98.5697,1,1.0
2021,11,TXSA,78229,29.5042,-98.5697,TXHI,77030,29.7041,-95.401,2,1.0
2021,11,TXSA,78229,29.5042,-98.5697,TXMH,77030,29.7041,-95.401,1,1.0
2021,11,TXSA,78229,29.5042,-98.5697,TXTX,75246,32.7948,-96.7697,1,1.0
2021,11,TXSB,75231,32.8756,-96.7495,KYUK,40536,38.0321,-84.5084,1,1.0
2021,11,TXSB,75231,32.8756,-96.7495,OHCC,44195,41.6857,-81.6728,1,1.0
2021,11,TXSB,75231,32.8756,-96.7495,TXBC,78229,29.5042,-98.5697,2,1.0
2021,11,TXSB,75231,32.8756,-96.7495,TXHH,77030,29.7041,-95.401,1,1.0
2021,11,TXSB,75231,32.8756,-96.7495,TXSP,75390,32.7673,-96.7776,2,1.0
2021,11,TXSB,75231,32.8756,-96.7495,TXTX,75246,32.7948,-96.7697,1,1.0
2021,11,TXSB,75231,32.8756,-96.7495,VAUV,22908,38.0401,-78.4851,1,1.0
2021,11,UTOP,84107,40.6568,-111.8904,UTMC,84148,40.7568,-111.8376,1,1.0
2021,11,VATB,23453,36.776,-76.0766,NCDU,27710,36.0512,-78.8577,2,0.0
2021,11,VATB,23453,36.776,-76.0766,NJBI,07112,40.7107,-74.2131,1,0.0
2021,11,VATB,23453,36.776,-76.0766,NYCP,10032,40.8382,-73.942,2,0.0
2021,11,WALC,98006,47.5614,-122.1552,AZSJ,85013,33.5085,-112.0827,1,0.0
2021,11,WALC,98006,47.5614,-122.1552,CACS,90048,34.0737,-118.372,1,0.0
2021,11,WALC,98006,47.5614,-122.1552,UTMC,84148,40.7568,-111.8376,1,0.0
2021,11,WALC,98006,47.5614,-122.1552,WAUW,98195,47.6564,-122.3048,4,0.0
2021,11,WIUW,53711,43.0356,-89.4526,IAIV,52246,41.6438,-91.5669,1,0.0
2021,11,WIUW,53711,43.0356,-89.4526,ILNM,60611,41.8971,-87.6223,1,0.0
2021,11,WIUW,53711,43.0356,-89.4526,OHOU,43210,40.0028,-83.0164,1,0.0
2021,11,WIUW,53711,43.0356,-89.4526,PAUP,19104,39.9597,-75.2024,1,0.0
2021,11,WIUW,53711,43.0356,-89.4526,WIUW,53792,43.0696,-89.4239,1,0.0
2021,12,ALOB,35233,33.5062,-86.8003,FLFH,32803,28.5559,-81.3535,1,1.0
2021,12,ALOB,35233,33.5062,-86.8003,OHCC,44195,41.6857,-81.6728,1,1.0
2021,12,ALOB,35233,33.5062,-86.8003,OHOU,43210,40.0028,-83.0164,1,1.0
2021,12,AROR,72205,34.751,-92.3455,TXTX,75246,32.7948,-96.7697,1,1.0
2021,12,AZOB,85281,33.4227,-111.9261,AZSJ,85013,33.5085,-112.0827,1,0.0
2021,12,AZOB,85281,33.4227,-111.9261,CASD,92037,32.8455,-117.2521,1,0.0
2021,12,CADN,94583,37.7562,-121.9522,CASF,94143,37.7631,-122.4586,4,1.0
2021,12,CADN,94583,37.7562,-121.9522,CASU,94305,37.4236,-122.1619,2,1.0
2021,12,CAGS,95691,38.5673,-121.5516,CASF,94143,37.7631,-122.4586,2,0.0
2021,12,CAGS,95691,38.5673,-121.5516,CASU,94305,37.4236,-122.1619,2,0.0
2021,12,CAOP,91702,34.1248,-117.9031,CACS,90048,34.0737,-118.372,6,1.0
2021,12,CAOP,91702,34.1248,-117.9031,CASD,92037,32.8455,-117.2521,3,1.0
2021,12,CAOP,91702,34.1248,-117.9031,CASU,94305,37.4236,-122.1619,1,1.0
2021,12,CAOP,91702,34.1248,-117.9031,CAUC,90095,33.7866,-118.2987,1,1.0
2021,12,CAOP,91702,34.1248,-117.9031,CAUH,90033,34.0487,-118.2084,1,1.0
2021,12,CAOP,91702,34.1248,-117.9031,UTMC,84148,40.7568,-111.8376,1,1.0
2021,12,CASD,92108,32.7783,-117.1335,CACS,90048,34.0737,-118.372,1,0.0
2021,12,CASD,92108,32.7783,-117.1335,CASF,94143,37.7631,-122.4586,1,0.0
2021,12,CASD,92108,32.7783,-117.1335,CAUC,90095,33.7866,-118.2987,1,0.0
2021,12,CORS,80230,39.7218,-104.8951,UTMC,84148,40.7568,-111.8376,1,1.0
2021,12,FLFH,32751,28.6255,-81.3646,FLSL,32224,30.3031,-81.4404,2,0.0
2021,12,FLFH,32751,28.6255,-81.3646,FLTG,33606,27.9475,-82.4584,1,0.0
2021,12,FLFH,32751,28.6255,-81.3646,FLUF,32610,29.6813,-82.3539,2,0.0
2021,12,FLMP,33136,25.7864,-80.2042,FLUF,32610,29.6813,-82.3539,1,0.0
2021,12,FLUF,32605,29.6785,-82.3679,FLFH,32803,28.5559,-81.3535,2,0.0
2021,12,FLUF,32605,29.6785,-82.3679,OHCC,44195,41.6857,-81.6728,1,0.0
2021,12,FLWC,33619,27.9382,-82.3756,PAPT,15213,40.444,-79.9552,1,0.0
2021,12,FLWC,33619,27.9382,-82.3756,PAUP,19104,39.9597,-75.2024,1,0.0
2021,12,FLWC,33619,27.9382,-82.3756,TXHI,77030,29.7041,-95.401,1,0.0
2021,12,GALL,30071,33.9381,-84.1972,ILUC,60637,41.7813,-87.6051,2,0.0
2021,12,GALL,30071,33.9381,-84.1972,NCDU,27710,36.0512,-78.8577,2,0.0
2021,12,GALL,30071,33.9381,-84.1972,WIUW,53792,43.0696,-89.4239,1,0.0
2021,12,HIOP,96817,21.3295,-157.8615,CACS,90048,34.0737,-118.372,1,0.0
2021,12,IAOP,52317,41.7443,-91.6061,MNMC,55902,44.0032,-92.4835,2,0.0
2021,12,IAOP,52317,41.7443,-91.6061,WIUW,53792,43.0696,-89.4239,1,0.0
2021,12,ILIP,60143,41.972,-88.0202,ILNM,60611,41.8971,-87.6223,1,0.0
2021,12,INOP,46222,39.789,-86.2136,MIHF,48202,42.377,-83.0796,1,1.0
2021,12,INOP,46222,39.789,-86.2136,MISH,49503,42.9659,-85.6527,1,1.0
2021,12,INOP,46222,39.789,-86.2136,VAFH,22042,38.8635,-77.1939,1,1.0
2021,12,KYDA,40223,38.2651,-85.5582,INIM,46202,39.7851,-86.1595,1,0.0
2021,12,LAOP,70433,30.4876,-90.0959,FLUF,32610,29.6813,-82.3539,1,1.0
2021,12,LAOP,70433,30.4876,-90.0959,TXHH,77030,29.7041,-95.401,1,1.0
2021,12,LAOP,70433,30.4876,-90.0959,TXHI,77030,29.7041,-95.401,1,1.0
2021,12,MAOB,02451,42.3986,-71.2451,MAPB,02115,42.3427,-71.0922,1,0.0
